Navigated to file:///Users/madelaine/Downloads/csc428-master-2/views/device1.html
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 1, Attempt 1
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196569: x:429, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196576: x:430, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196584: x:431, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196593: x:433, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196600: x:434, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196606: x:435, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196616: x:436, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196622: x:437, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196629: x:438, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196637: x:439, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196645: x:441, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196654: x:442, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196661: x:443, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196667: x:444, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196675: x:446, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196684: x:447, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196690: x:449, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196700: x:451, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196706: x:452, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196717: x:454, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196722: x:455, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196729: x:457, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196736: x:458, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196744: x:460, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196755: x:461, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196760: x:462, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196767: x:463, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196775: x:464, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196784: x:465, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196793: x:466, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196801: x:467, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196808: x:468, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196812: x:468, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196823: x:469, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196829: x:469, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196836: x:470, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196844: x:471, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196855: x:471, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196861: x:472, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196868: x:473, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196874: x:473, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196882: x:474, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196894: x:474, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196901: x:475, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196907: x:476, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196913: x:476, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196921: x:477, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196928: x:477, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196936: x:478, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196945: x:478, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196952: x:479, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196958: x:480, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196968: x:480, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196974: x:481, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196984: x:481, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196993: x:482, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196997: x:482, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197006: x:483, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197013: x:484, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197021: x:484, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197027: x:485, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197044: x:485, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197046: x:486, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197052: x:486, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197061: x:486, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197067: x:487, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197075: x:487, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197084: x:487, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197089: x:487, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197097: x:487, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197105: x:487, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197112: x:487, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197123: x:487, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197129: x:487, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197137: x:487, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197144: x:487, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197152: x:487, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197157: x:487, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197168: x:487, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197175: x:487, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197186: x:487, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197190: x:487, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197198: x:487, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197205: x:487, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197214: x:487, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197221: x:487, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197228: x:487, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197236: x:486, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323197245: x:485, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:165 Stop tracking information: Task 2, Part 1 completed in 1 attempt[s].
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:153 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task2, fromElement: null, y: 262…}
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:155 Start tracking information: Task 2, Part 2, Attempt 1
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323198816: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323198824: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323198832: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323198846: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323198850: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323198857: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323198864: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323198870: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323198879: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323198888: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323198896: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323198902: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323198908: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323198918: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323198924: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323198933: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323198946: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323198947: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323198957: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323198962: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323198974: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323198978: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323198987: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323198997: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323199002: x:253, y:262
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323199009: x:253, y:261
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323199018: x:253, y:261
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323199026: x:253, y:261
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323199033: x:253, y:261
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323199043: x:253, y:261
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323199048: x:253, y:261
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323199059: x:253, y:261
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323199065: x:253, y:261
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323199071: x:253, y:261
