Navigated to file:///Users/madelaine/Downloads/csc428-master-2/views/device1.html
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 1, Attempt 1
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323796417: x:537, y:242
task2a.js:181 Timestamp: 1427323796424: x:540, y:243
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323796434: x:543, y:243
task2a.js:181 Timestamp: 1427323796440: x:546, y:243
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323796450: x:550, y:244
task2a.js:181 Timestamp: 1427323796455: x:553, y:244
task2a.js:181 Timestamp: 1427323796464: x:557, y:244
task2a.js:181 Timestamp: 1427323796470: x:560, y:244
task2a.js:181 Timestamp: 1427323796478: x:563, y:244
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323796487: x:566, y:244
task2a.js:181 Timestamp: 1427323796493: x:569, y:244
task2a.js:181 Timestamp: 1427323796501: x:571, y:244
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323796509: x:574, y:244
task2a.js:181 Timestamp: 1427323796517: x:576, y:245
task2a.js:181 Timestamp: 1427323796524: x:579, y:245
task2a.js:181 Timestamp: 1427323796534: x:582, y:245
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323796539: x:584, y:245
task2a.js:181 Timestamp: 1427323796547: x:587, y:245
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323796559: x:590, y:246
task2a.js:181 Timestamp: 1427323796561: x:592, y:246
task2a.js:181 Timestamp: 1427323796570: x:594, y:246
task2a.js:181 Timestamp: 1427323796578: x:596, y:246
task2a.js:181 Timestamp: 1427323796587: x:597, y:246
task2a.js:181 Timestamp: 1427323796592: x:598, y:246
task2a.js:181 Timestamp: 1427323796601: x:599, y:246
task2a.js:181 Timestamp: 1427323796608: x:599, y:246
task2a.js:181 Timestamp: 1427323796617: x:599, y:246
task2a.js:181 Timestamp: 1427323796624: x:599, y:246
task2a.js:181 Timestamp: 1427323796633: x:599, y:246
task2a.js:181 Timestamp: 1427323796639: x:599, y:246
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323796649: x:599, y:246
task2a.js:181 Timestamp: 1427323796654: x:599, y:246
task2a.js:181 Timestamp: 1427323796662: x:599, y:247
task2a.js:181 Timestamp: 1427323796672: x:599, y:247
task2a.js:181 Timestamp: 1427323796677: x:599, y:247
task2a.js:181 Timestamp: 1427323796685: x:597, y:247
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323796693: x:595, y:247
task2a.js:181 Timestamp: 1427323796702: x:592, y:248
task2a.js:181 Timestamp: 1427323796709: x:588, y:249
task2a.js:165 Stop tracking information: Task 2, Part 2 completed in 1 attempt[s].
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:153 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task2, fromElement: null, y: 148…}
task2a.js:155 Start tracking information: Task 2, Part 3, Attempt 1
task2a.js:181 Timestamp: 1427323798817: x:97, y:147
task2a.js:181 Timestamp: 1427323798825: x:96, y:146
task2a.js:181 Timestamp: 1427323798839: x:96, y:146
task2a.js:181 Timestamp: 1427323798841: x:95, y:145
task2a.js:181 Timestamp: 1427323798849: x:95, y:145
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323798859: x:95, y:145
task2a.js:181 Timestamp: 1427323798864: x:95, y:144
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323798879: x:95, y:144
task2a.js:181 Timestamp: 1427323798881: x:95, y:144
task2a.js:181 Timestamp: 1427323798886: x:95, y:144
task2a.js:181 Timestamp: 1427323798895: x:95, y:144
task2a.js:181 Timestamp: 1427323798903: x:95, y:144
task2a.js:181 Timestamp: 1427323798910: x:95, y:144
task2a.js:181 Timestamp: 1427323798918: x:95, y:144
task2a.js:181 Timestamp: 1427323798925: x:95, y:144
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323798938: x:95, y:144
task2a.js:181 Timestamp: 1427323798942: x:95, y:144
task2a.js:181 Timestamp: 1427323798947: x:95, y:144
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323798959: x:96, y:144
task2a.js:181 Timestamp: 1427323798964: x:96, y:144
task2a.js:181 Timestamp: 1427323798974: x:97, y:144
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323798981: x:99, y:144
task2a.js:181 Timestamp: 1427323798987: x:100, y:144
task2a.js:181 Timestamp: 1427323798995: x:102, y:144
task2a.js:181 Timestamp: 1427323799003: x:104, y:144
task2a.js:181 Timestamp: 1427323799010: x:107, y:145
task2a.js:181 Timestamp: 1427323799018: x:110, y:145
task2a.js:181 Timestamp: 1427323799027: x:113, y:146
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323799033: x:117, y:146
task2a.js:181 Timestamp: 1427323799042: x:120, y:147
task2a.js:181 Timestamp: 1427323799049: x:123, y:147
task2a.js:181 Timestamp: 1427323799055: x:127, y:148
task2a.js:181 Timestamp: 1427323799064: x:130, y:149
task2a.js:181 Timestamp: 1427323799070: x:133, y:150
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323799081: x:136, y:151
task2a.js:181 Timestamp: 1427323799087: x:139, y:152
task2a.js:181 Timestamp: 1427323799095: x:142, y:153
task2a.js:181 Timestamp: 1427323799102: x:145, y:154
task2a.js:181 Timestamp: 1427323799112: x:148, y:156
task2a.js:181 Timestamp: 1427323799118: x:152, y:157
task2a.js:181 Timestamp: 1427323799125: x:155, y:159
task2a.js:181 Timestamp: 1427323799134: x:159, y:161
task2a.js:181 Timestamp: 1427323799143: x:162, y:162
task2a.js:181 Timestamp: 1427323799149: x:166, y:164
task2a.js:181 Timestamp: 1427323799160: x:169, y:166
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323799167: x:172, y:168
task2a.js:181 Timestamp: 1427323799172: x:175, y:170
task2a.js:181 Timestamp: 1427323799179: x:178, y:173
task2a.js:181 Timestamp: 1427323799186: x:181, y:175
task2a.js:181 Timestamp: 1427323799198: x:183, y:177
task2a.js:181 Timestamp: 1427323799203: x:186, y:180
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323799213: x:189, y:182
task2a.js:181 Timestamp: 1427323799218: x:192, y:185
task2a.js:181 Timestamp: 1427323799226: x:196, y:188
task2a.js:181 Timestamp: 1427323799233: x:199, y:191
task2a.js:181 Timestamp: 1427323799242: x:202, y:194
