Navigated to file:///Users/madelaine/Downloads/csc428-master-2/views/device1.html
js/task1a.js:94 Start tracking information: Task 1, Part 1, Attempt 1
js/task2a.js:181 Timestamp: 1427322636272: x:592, y:247
js/task2a.js:181 Timestamp: 1427322636281: x:593, y:248
js/task2a.js:181 Timestamp: 1427322636287: x:593, y:248
js/task2a.js:181 Timestamp: 1427322636297: x:594, y:248
js/task2a.js:181 Timestamp: 1427322636304: x:595, y:249
js/task2a.js:181 Timestamp: 1427322636311: x:595, y:249
js/task2a.js:181 Timestamp: 1427322636319: x:595, y:249
js/task2a.js:181 Timestamp: 1427322636328: x:595, y:249
js/task2a.js:181 Timestamp: 1427322636334: x:596, y:249
js/task2a.js:181 Timestamp: 1427322636345: x:596, y:249
js/task2a.js:181 Timestamp: 1427322636349: x:596, y:249
js/task2a.js:181 Timestamp: 1427322636357: x:595, y:249
js/task2a.js:181 Timestamp: 1427322636364: x:594, y:249
js/task2a.js:181 Timestamp: 1427322636375: x:592, y:249
js/task2a.js:165 Stop tracking information: Task 2, Part 2 completed in 1 attempt[s].
js/task2a.js:153 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task2, fromElement: null, y: 143…}
js/task2a.js:155 Start tracking information: Task 2, Part 3, Attempt 1
js/task2a.js:181 Timestamp: 1427322637921: x:110, y:142
js/task2a.js:181 Timestamp: 1427322637932: x:110, y:142
js/task2a.js:181 Timestamp: 1427322637937: x:110, y:141
js/task2a.js:181 Timestamp: 1427322637945: x:109, y:141
js/task2a.js:181 Timestamp: 1427322637954: x:109, y:141
js/task2a.js:181 Timestamp: 1427322637960: x:109, y:141
js/task2a.js:181 Timestamp: 1427322637968: x:108, y:141
js/task2a.js:181 Timestamp: 1427322637977: x:108, y:141
js/task2a.js:181 Timestamp: 1427322637984: x:108, y:141
js/task2a.js:181 Timestamp: 1427322637993: x:108, y:141
js/task2a.js:181 Timestamp: 1427322638001: x:108, y:141
js/task2a.js:181 Timestamp: 1427322638008: x:108, y:141
js/task2a.js:181 Timestamp: 1427322638017: x:108, y:141
js/task2a.js:181 Timestamp: 1427322638024: x:109, y:142
js/task2a.js:181 Timestamp: 1427322638033: x:109, y:142
js/task2a.js:181 Timestamp: 1427322638044: x:110, y:143
js/task2a.js:181 Timestamp: 1427322638050: x:112, y:144
js/task2a.js:181 Timestamp: 1427322638053: x:113, y:144
js/task2a.js:181 Timestamp: 1427322638066: x:115, y:145
js/task2a.js:181 Timestamp: 1427322638072: x:117, y:146
js/task2a.js:181 Timestamp: 1427322638078: x:120, y:147
js/task2a.js:181 Timestamp: 1427322638084: x:122, y:148
js/task2a.js:181 Timestamp: 1427322638094: x:125, y:149
js/task2a.js:181 Timestamp: 1427322638103: x:128, y:150
js/task2a.js:181 Timestamp: 1427322638107: x:132, y:151
js/task2a.js:181 Timestamp: 1427322638118: x:135, y:152
js/task2a.js:181 Timestamp: 1427322638122: x:139, y:154
js/task2a.js:181 Timestamp: 1427322638132: x:143, y:156
js/task2a.js:181 Timestamp: 1427322638137: x:147, y:158
js/task2a.js:181 Timestamp: 1427322638146: x:151, y:160
js/task2a.js:181 Timestamp: 1427322638153: x:155, y:162
js/task2a.js:181 Timestamp: 1427322638163: x:159, y:163
js/task2a.js:181 Timestamp: 1427322638171: x:163, y:165
js/task2a.js:181 Timestamp: 1427322638176: x:168, y:166
js/task2a.js:181 Timestamp: 1427322638184: x:172, y:167
js/task2a.js:181 Timestamp: 1427322638192: x:176, y:169
js/task2a.js:181 Timestamp: 1427322638204: x:181, y:170
js/task2a.js:181 Timestamp: 1427322638206: x:185, y:172
js/task2a.js:181 Timestamp: 1427322638217: x:189, y:174
js/task2a.js:181 Timestamp: 1427322638222: x:193, y:176
js/task2a.js:181 Timestamp: 1427322638229: x:197, y:179
js/task2a.js:181 Timestamp: 1427322638237: x:201, y:181
js/task2a.js:181 Timestamp: 1427322638244: x:204, y:183
js/task2a.js:181 Timestamp: 1427322638252: x:207, y:185
js/task2a.js:181 Timestamp: 1427322638262: x:210, y:187
js/task2a.js:181 Timestamp: 1427322638269: x:214, y:189
js/task2a.js:181 Timestamp: 1427322638276: x:217, y:191
js/task2a.js:181 Timestamp: 1427322638284: x:220, y:192
js/task2a.js:181 Timestamp: 1427322638291: x:223, y:194
js/task2a.js:181 Timestamp: 1427322638301: x:226, y:195
js/task2a.js:181 Timestamp: 1427322638306: x:229, y:196
js/task2a.js:181 Timestamp: 1427322638314: x:232, y:196
js/task2a.js:181 Timestamp: 1427322638322: x:235, y:197
js/task2a.js:181 Timestamp: 1427322638330: x:238, y:197
js/task2a.js:181 Timestamp: 1427322638336: x:240, y:197
js/task2a.js:181 Timestamp: 1427322638344: x:243, y:198
js/task2a.js:181 Timestamp: 1427322638353: x:246, y:198
js/task2a.js:181 Timestamp: 1427322638359: x:249, y:199
js/task2a.js:181 Timestamp: 1427322638368: x:251, y:200
js/task2a.js:181 Timestamp: 1427322638375: x:254, y:201
js/task2a.js:181 Timestamp: 1427322638385: x:257, y:202
js/task2a.js:181 Timestamp: 1427322638391: x:259, y:204
js/task2a.js:181 Timestamp: 1427322638400: x:262, y:206
js/task2a.js:181 Timestamp: 1427322638407: x:264, y:208
js/task2a.js:181 Timestamp: 1427322638413: x:266, y:210
js/task2a.js:181 Timestamp: 1427322638423: x:268, y:212
js/task2a.js:181 Timestamp: 1427322638428: x:270, y:214
js/task2a.js:181 Timestamp: 1427322638438: x:271, y:216
js/task2a.js:181 Timestamp: 1427322638443: x:272, y:218
js/task2a.js:181 Timestamp: 1427322638453: x:274, y:219
js/task2a.js:181 Timestamp: 1427322638459: x:275, y:221
js/task2a.js:181 Timestamp: 1427322638467: x:276, y:223
js/task2a.js:181 Timestamp: 1427322638475: x:277, y:224
js/task2a.js:181 Timestamp: 1427322638484: x:278, y:226
js/task2a.js:181 Timestamp: 1427322638490: x:279, y:228
js/task2a.js:181 Timestamp: 1427322638503: x:280, y:229
js/task2a.js:181 Timestamp: 1427322638506: x:281, y:231
js/task2a.js:181 Timestamp: 1427322638521: x:282, y:232
js/task2a.js:181 Timestamp: 1427322638523: x:283, y:233
js/task2a.js:181 Timestamp: 1427322638528: x:284, y:235
js/task2a.js:181 Timestamp: 1427322638538: x:285, y:236
js/task2a.js:181 Timestamp: 1427322638544: x:286, y:237
js/task2a.js:181 Timestamp: 1427322638552: x:287, y:239
js/task2a.js:181 Timestamp: 1427322638559: x:288, y:240
js/task2a.js:181 Timestamp: 1427322638572: x:289, y:241
js/task2a.js:181 Timestamp: 1427322638575: x:290, y:243
js/task2a.js:181 Timestamp: 1427322638584: x:291, y:244
js/task2a.js:181 Timestamp: 1427322638591: x:292, y:245
js/task2a.js:181 Timestamp: 1427322638597: x:293, y:246
js/task2a.js:181 Timestamp: 1427322638608: x:294, y:247
js/task2a.js:181 Timestamp: 1427322638613: x:295, y:247
