Navigated to file:///Users/madelaine/Desktop/csc428-master/views/start.html
Navigated to file:///Users/madelaine/Desktop/csc428-master/views/device1.html
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530005: x:490, y:240
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530022: x:497, y:240
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530043: x:503, y:240
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530059: x:507, y:240
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530072: x:516, y:239
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530090: x:528, y:237
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530106: x:545, y:237
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530124: x:561, y:237
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530140: x:570, y:237
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530160: x:574, y:237
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530178: x:579, y:237
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530194: x:584, y:239
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530210: x:591, y:242
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530227: x:596, y:244
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530243: x:599, y:245
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530262: x:600, y:247
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530279: x:601, y:247
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530294: x:602, y:247
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530312: x:603, y:248
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530367: x:604, y:248
/Users/madelaine/Desktop/csc428-master/js/task2a.js:165 Stop tracking information: Task 2, Part 5 completed in 1 attempt[s].
/Users/madelaine/Desktop/csc428-master/js/task2a.js:153 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task2, fromElement: null, y: 308…}
/Users/madelaine/Desktop/csc428-master/js/task2a.js:173 Stop tracking information: Task 2, Part 5, Attempt 1 failed.
Navigated to file:///Users/madelaine/Desktop/csc428-master/views/task3a.html
/Users/madelaine/Desktop/csc428-master/js/task3a.js:240 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task3, fromElement: null, y: 247…}
/Users/madelaine/Desktop/csc428-master/js/task3a.js:242 Start tracking information: Task 2, Part 1, Attempt 1
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532139: x:575, y:247
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532153: x:577, y:247
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532170: x:583, y:247
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532189: x:596, y:247
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532204: x:615, y:247
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532223: x:651, y:247
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532238: x:680, y:248
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532255: x:712, y:254
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532272: x:743, y:261
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532289: x:764, y:264
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532306: x:774, y:265
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532322: x:777, y:265
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532340: x:778, y:265
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532358: x:781, y:265
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532375: x:782, y:265
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532391: x:783, y:265
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532439: x:783, y:264
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532472: x:783, y:263
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532490: x:783, y:262
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532506: x:782, y:260
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532525: x:779, y:257
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532541: x:777, y:254
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532560: x:776, y:252
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532575: x:776, y:251
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532594: x:776, y:250
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532671: x:776, y:251
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532690: x:777, y:260
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532706: x:781, y:276
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532723: x:788, y:306
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532740: x:794, y:336
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532757: x:797, y:357
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532775: x:797, y:375
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532790: x:799, y:395
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532809: x:804, y:421
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532824: x:809, y:441
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532843: x:812, y:453
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532859: x:812, y:456
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532876: x:812, y:457
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532919: x:811, y:457
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532938: x:809, y:456
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532952: x:805, y:452
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532970: x:801, y:449
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721532988: x:797, y:447
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721533004: x:792, y:444
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721533022: x:789, y:441
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721533041: x:788, y:441
